Operation,Planned_Population_Group1,Goal1,Rights_Group1,Objective1,Year1,Indicators6,Impact_Indicator_Value_Baseline2,Impact_Indicator_Value_Imp_Target2,Impact_Indicator_Value_Comp_Target2,Impact_Indicator_Value_Mid_Year2,Impact_Indicator_Value_Year_End2,Impact_Indicator_Value_Standard2
Djibouti,Refugees in Djibouti,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Djibouti,Refugees in Djibouti,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent persons of concern have access to national education systems,15.0,25.0,80.0,,,80.0
Djibouti,Refugees in Djibouti,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent persons of concern have access to national education systems,15.0,25.0,80.0,,,80.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,50.0,60.0,80.0,,72.0,80.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,60.0,70.0,90.0,,96.0,100.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,96.0,97.0,100.0,,,100.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,96.0,98.0,100.0,,,100.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,96.0,98.0,100.0,,,100.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,72.0,82.0,100.0,,,80.0
Ecuador,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,72.0,82.0,100.0,,,80.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,60.0,80.0,80.0,37.6,,80.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,80.0,80.0,100.0,,,80.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,80.0,80.0,90.0,,,80.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,80.0,80.0,90.0,,,80.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,60.0,65.0,65.0,80.1,,80.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,55.0,65.0,100.0,,,80.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,80.0,85.0,85.0,83.5,,100.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,70.0,70.0,100.0,,,100.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,90.0,95.0,100.0,,,100.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,90.0,95.0,100.0,,,100.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,70.0,75.0,80.0,,,80.0
Egypt,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,70.0,75.0,80.0,,,80.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,100.0,100.0,100.0,80.0,73.0,80.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,100.0,100.0,100.0,,,100.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,90.0,100.0,100.0,,,100.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,90.0,100.0,100.0,,,100.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,80.0,100.0,100.0,,,80.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,80.0,100.0,100.0,,,80.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are female,16.0,20.0,30.0,25.0,2.0,50.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are female,23.0,23.0,30.0,,,50.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are female,20.0,30.0,30.0,,,50.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are female,20.0,30.0,30.0,,,50.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are qualified,87.0,90.0,90.0,35.0,57.0,70.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are qualified,87.0,90.0,90.0,,,70.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are qualified,,,,,,70.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are qualified,,,,,,70.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers with professional teaching qualifications,,,,,,70.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers with professional teaching qualifications,,,,,,70.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers with professional teaching qualifications,83.0,90.0,90.0,,,70.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers with professional teaching qualifications,83.0,90.0,90.0,,,70.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent persons of concern have access to national education systems,100.0,100.0,100.0,,,80.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent persons of concern have access to national education systems,100.0,100.0,100.0,,,80.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,Extent refugee qualifications recognized,100.0,95.0,100.0,33.3,95.0,100.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,Extent refugee qualifications recognized,100.0,100.0,100.0,,,100.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent refugee qualifications recognized,,,,,,100.0
Eritrea,"Refugees, asylum seekers and others of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent refugee qualifications recognized,,,,,,100.0
Ethiopia,Kenyan Borenas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,40.0,70.0,70.0,49.8,,100.0
Ethiopia,Kenyan Borenas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,38.0,52.0,70.0,,,100.0
Ethiopia,Mainly Sudanese refugees in western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,90.0,95.0,100.0,38.6,81.1,80.0
Ethiopia,Mainly Sudanese refugees in western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Ethiopia,Mainly Sudanese refugees in western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,100.0,100.0,100.0,61.0,67.6,100.0
Ethiopia,Mainly Sudanese refugees in western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,95.0,97.0,100.0,,,100.0
Ethiopia,Mainly Sudanese refugees in western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are female,11.0,15.0,15.0,12.1,7.7,50.0
Ethiopia,Mainly Sudanese refugees in western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are female,12.0,25.0,50.0,,,50.0
Ethiopia,Mainly Sudanese refugees in western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are qualified,33.0,50.0,75.0,19.8,21.2,70.0
Ethiopia,Mainly Sudanese refugees in western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are qualified,,,,,,70.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,40.0,80.0,80.0,64.2,45.4,80.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,75.0,80.0,90.0,,,80.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,40.0,40.0,60.0,,,80.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,40.0,40.0,60.0,,,80.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,20.0,40.0,70.0,,11.4,80.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,37.0,50.0,80.0,,,80.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,50.0,70.0,90.0,63.9,47.5,100.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,58.0,80.0,90.0,,,100.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,40.0,40.0,70.0,,,100.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,40.0,40.0,70.0,,,100.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,10.0,30.0,50.0,,,80.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,10.0,30.0,50.0,,,80.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are female,1.0,10.0,20.0,,20.7,50.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are female,5.0,10.0,20.0,,,50.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are female,25.0,25.0,40.0,,,50.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are female,25.0,25.0,40.0,,,50.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are qualified,,,25.0,,56.0,70.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are qualified,45.0,60.0,100.0,,,70.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are qualified,,,,,,70.0
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are qualified,,,,,,70.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,64.0,71.0,78.0,73.6,89.2,80.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,89.0,92.0,95.0,,,80.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,92.0,92.0,96.0,,,80.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,92.0,92.0,96.0,,,80.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,28.0,54.0,65.0,35.9,44.6,80.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,54.0,63.0,75.0,,,80.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,42.0,60.0,70.0,54.5,61.1,100.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,61.0,66.0,75.0,,,100.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,66.0,66.0,80.0,,,100.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,66.0,66.0,80.0,,,100.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
