Operation,PPG,Objective,Planningyear,OLBudgetImpact,AOLBudgetImpact,CompBudgetImpact,ImpactIndicator,Baseline,TargetOL,TargetOP,MYR,YER,Standard,Output,OLBudgetPer,AOLBudgetPer,CompBudgetPer,PerformanceIndicator,TargetOLPer,TargetOPPer,MYRPer,YERPer
Djibouti,Refugees in Djibouti,Population has optimal access to education,2014,"845,431.20","1,139,585.70","1,985,016.90",% of primary school-aged children enrolled in primary education,42.0,60.0,100.0,,,100.0,,,,,,,,,
Djibouti,Refugees in Djibouti,Population has optimal access to education,2014,"845,431.20","1,139,585.70","1,985,016.90",% of teachers with professional teaching qualifications,1.0,5.0,70.0,,,70.0,,,,,,,,,
Djibouti,Refugees in Djibouti,Population has optimal access to education,2014,"845,431.20","1,139,585.70","1,985,016.90",Extent persons of concern have access to national education systems,15.0,25.0,80.0,,,80.0,,,,,,,,,
Djibouti,Refugees in Djibouti,,2014,,,,,,,,,,,Advocacy conducted,"35,633.03","66,917.14","102,550.17",# of families identified with school-aged children out of school,300.0,300.0,,
Djibouti,Refugees in Djibouti,,2014,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","183,633.03","451,917.14","635,550.17",# of educational facilities constructed or improved,44.0,109.0,,
Djibouti,Refugees in Djibouti,,2014,,,,,,,,,,,Involvement of key stakeholders promoted,"70,266.05",0.00,"70,266.05",# of national authorities that have endorsed the UNHCR education strategy,2.0,2.0,,
Djibouti,Refugees in Djibouti,,2014,,,,,,,,,,,Involvement of key stakeholders promoted,"70,266.05",0.00,"70,266.05",# of partners that have endorsed the UNHCR education strategy,6.0,6.0,,
Djibouti,Refugees in Djibouti,,2014,,,,,,,,,,,Measures to promote girls' education promoted,"38,633.03","96,917.14","135,550.17",# of measures in place to facilitate women and girls' access to education,5.0,5.0,,
Djibouti,Refugees in Djibouti,,2014,,,,,,,,,,,Primary education provided or supported,"283,633.03","26,917.14","310,550.17",# of children enrolled in primary education,"2,500.0","5,039.0",,
Djibouti,Refugees in Djibouti,,2014,,,,,,,,,,,Secondary education provided or supported,"233,633.03","496,917.14","730,550.17",# of students enrolled in lower secondary education,50.0,100.0,,
Ecuador,Refugees and asylum seekers,Population has optimal access to education,2014,"276,405.50","630,245.18","906,650.68",% of primary school-aged children enrolled in primary education,96.0,98.0,100.0,,,100.0,,,,,,,,,
Ecuador,Refugees and asylum seekers,Population has optimal access to education,2014,"276,405.50","630,245.18","906,650.68",% of secondary school-aged young people enrolled in secondary education,72.0,82.0,100.0,,,80.0,,,,,,,,,
Ecuador,Refugees and asylum seekers,,2014,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","135,702.75","555,122.59","690,825.34",# of educational facilities constructed or improved,20.0,30.0,,
Ecuador,Refugees and asylum seekers,,2014,,,,,,,,,,,Sectoral cash grants or vouchers provided,"140,702.75","75,122.59","215,825.34",# of households receiving conditional cash grants or vouchers for education,950.0,"1,000.0",,
Egypt,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"2,656,708.03","1,313,900.83","3,970,608.86",% of children aged 3-5 yrs enrolled in early childhood education,80.0,80.0,90.0,,,80.0,,,,,,,,,
Egypt,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"2,656,708.03","1,313,900.83","3,970,608.86",% of primary school-aged children enrolled in primary education,90.0,95.0,100.0,,,100.0,,,,,,,,,
Egypt,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"2,656,708.03","1,313,900.83","3,970,608.86",% of secondary school-aged young people enrolled in secondary education,70.0,75.0,80.0,,,80.0,,,,,,,,,
Egypt,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Access to tertiary education provided or supported,"88,707.68","269,324.16","358,031.84",# of PoC who receive tertiary education scholarships,10.0,50.0,,
Egypt,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Early childhood education provided or supported,"270,003.12","95,040.15","365,043.27",# of children aged 3-5 enrolled in early childhood education,"1,350.0","1,850.0",,
Egypt,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"192,580.66","76,417.20","268,997.86",# of teachers enrolled in on-going in-service training leading to teacher certification,150.0,200.0,,
Egypt,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Primary education provided or supported,"1,515,905.06","506,451.33","2,022,356.39",# of children enrolled in primary education,"5,000.0","6,800.0",,
Egypt,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Secondary education provided or supported,"589,511.51","366,667.99","956,179.50",# of students enrolled in lower secondary education,"1,200.0","1,500.0",,
Egypt,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Secondary education provided or supported,"589,511.51","366,667.99","956,179.50",# of students enrolled in upper secondary education,700.0,"1,000.0",,
Eritrea,"Refugees, asylum seekers and others of concern",Population has optimal access to education,2014,"200,262.08",0.00,"200,262.08",% of primary school-aged children enrolled in primary education,90.0,100.0,100.0,,,100.0,,,,,,,,,
Eritrea,"Refugees, asylum seekers and others of concern",Population has optimal access to education,2014,"200,262.08",0.00,"200,262.08",% of secondary school-aged young people enrolled in secondary education,80.0,100.0,100.0,,,80.0,,,,,,,,,
Eritrea,"Refugees, asylum seekers and others of concern",Population has optimal access to education,2014,"200,262.08",0.00,"200,262.08",% of teachers who are female,20.0,30.0,30.0,,,50.0,,,,,,,,,
Eritrea,"Refugees, asylum seekers and others of concern",Population has optimal access to education,2014,"200,262.08",0.00,"200,262.08",% of teachers with professional teaching qualifications,83.0,90.0,90.0,,,70.0,,,,,,,,,
Eritrea,"Refugees, asylum seekers and others of concern",Population has optimal access to education,2014,"200,262.08",0.00,"200,262.08",Extent persons of concern have access to national education systems,100.0,100.0,100.0,,,80.0,,,,,,,,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Access to tertiary education provided or supported,"9,142.76",0.00,"9,142.76",# of PoC who receive tertiary education scholarships,12.0,12.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Advocacy conducted,"9,142.76",0.00,"9,142.76",# of families identified with school-aged children out of school,10.0,10.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Advocacy conducted,"9,142.76",0.00,"9,142.76",# of sensitization and community mobilization campaigns conducted to promote school enrollment,5.0,5.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Early childhood education provided or supported,"9,142.76",0.00,"9,142.76",# of children aged 3-5 enrolled in early childhood education,120.0,120.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"59,142.76",0.00,"59,142.76",# of children per teacher,38.0,38.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"59,142.76",0.00,"59,142.76",# of teachers with professional teaching qualifications,30.0,30.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"59,142.76",0.00,"59,142.76",% of primary school graduates (successful completion of final grade),90.0,90.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"59,142.76",0.00,"59,142.76",% of teachers who were retained from the previous year,90.0,90.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Primary education provided or supported,"49,596.09",0.00,"49,596.09",# of children enrolled in primary education,"1,040.0","1,040.0",,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Primary education provided or supported,"49,596.09",0.00,"49,596.09",# of children enrolled in primary education in the correct grade for their age,"1,000.0","1,000.0",,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Safe learning environments promoted,"9,142.76",0.00,"9,142.76",# of children with specific needs enrolled in school,50.0,50.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Secondary education provided or supported,"35,809.43",0.00,"35,809.43",# of students enrolled in lower secondary education,300.0,300.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Secondary education provided or supported,"35,809.43",0.00,"35,809.43",# of students enrolled in upper secondary education,125.0,125.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Secondary education provided or supported,"35,809.43",0.00,"35,809.43",% of lower secondary school graduates (successful completion of final grade),80.0,80.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Secondary education provided or supported,"35,809.43",0.00,"35,809.43",% of upper secondary school graduates (successful completion of final grade),80.0,80.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Sports/recreation programme provided or supported,"19,142.76",0.00,"19,142.76",# of active youth clubs or committees,1.0,1.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2014,,,,,,,,,,,Sports/recreation programme provided or supported,"19,142.76",0.00,"19,142.76",# of PoC participating in UNHCR supported school-based sports/recreation activities,200.0,200.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Population has optimal access to education,2014,"266,270.43","3,548,472.03","3,814,742.46",% of children aged 3-5 yrs enrolled in early childhood education,40.0,40.0,60.0,,,80.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Population has optimal access to education,2014,"266,270.43","3,548,472.03","3,814,742.46",% of primary school-aged children enrolled in primary education,40.0,40.0,70.0,,,100.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Population has optimal access to education,2014,"266,270.43","3,548,472.03","3,814,742.46",% of secondary school-aged young people enrolled in secondary education,10.0,30.0,50.0,,,80.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Population has optimal access to education,2014,"266,270.43","3,548,472.03","3,814,742.46",% of teachers who are female,25.0,25.0,40.0,,,50.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,Access to tertiary education provided or supported,"38,038.63","1,406,568.39","1,444,607.02",# of PoC enrolled in UNHCR supported tertiary education programmes,"1,404.0","2,500.0",,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,Early childhood education provided or supported,"38,038.63","219,568.39","257,607.02",% of children aged 3-5 enrolled in early childhood education who are not registered PoC,40.0,70.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained",0.00,"552,570.76","552,570.76",# of educational facilities constructed or improved,,9.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained",0.00,"552,570.76","552,570.76",% of schools with safe access to separate latrines for boys and girls,,100.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"38,038.63","128,568.39","166,607.02",# of children per teacher,50.0,40.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"38,038.63","128,568.39","166,607.02",# of teachers with professional teaching qualifications,79.0,200.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"38,038.63","128,568.39","166,607.02",% of female primary education teachers,26.0,40.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"38,038.63","128,568.39","166,607.02",% of primary school graduates (successful completion of final grade),54.0,70.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,Primary education provided or supported,"38,038.63","310,657.39","348,696.02",# of children enrolled in primary education,"4,080.0","5,200.0",,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,Safe learning environments promoted,"76,077.28",0.00,"76,077.28",% of schools that enforce a teacher code of conduct that has been developed in a participatory way,100.0,100.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,Secondary education provided or supported,"38,038.63","930,538.71","968,577.34",# of students enrolled in lower secondary education,600.0,800.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,Secondary education provided or supported,"38,038.63","930,538.71","968,577.34",# of students enrolled in upper secondary education,80.0,120.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,Secondary education provided or supported,"38,038.63","930,538.71","968,577.34",% of lower secondary school graduates (successful completion of final grade),50.0,70.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2014,,,,,,,,,,,Secondary education provided or supported,"38,038.63","930,538.71","968,577.34",% of upper secondary school graduates (successful completion of final grade),50.0,80.0,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Population has optimal access to education,2014,"1,653,163.10","1,442,666.99","3,095,830.09",% of children aged 3-5 yrs enrolled in early childhood education,92.0,92.0,96.0,,,80.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Population has optimal access to education,2014,"1,653,163.10","1,442,666.99","3,095,830.09",% of primary school-aged children enrolled in primary education,66.0,66.0,80.0,,,100.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Population has optimal access to education,2014,"1,653,163.10","1,442,666.99","3,095,830.09",% of secondary school-aged young people enrolled in secondary education,53.0,53.0,75.0,,,80.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Population has optimal access to education,2014,"1,653,163.10","1,442,666.99","3,095,830.09",% of teachers who are female,28.0,28.0,34.0,,,50.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Population has optimal access to education,2014,"1,653,163.10","1,442,666.99","3,095,830.09",% of teachers with professional teaching qualifications,65.0,65.0,80.0,,,70.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2014,,,,,,,,,,,Access to tertiary education provided or supported,"192,748.39","155,888.52","348,636.91",# of PoC who receive tertiary education scholarships,200.0,543.0,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2014,,,,,,,,,,,Early childhood education provided or supported,"163,299.83","219,228.13","382,527.96",% of children aged 3-5 enrolled in early childhood education who are not registered PoC,74.0,85.0,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2014,,,,,,,,,,,Measures to promote girls' education promoted,"162,206.54","65,748.53","227,955.07",# of measures in place to facilitate women and girls' access to education,1.0,2.0,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2014,,,,,,,,,,,Primary education provided or supported,"839,486.30","589,625.40","1,429,111.70",# of children enrolled in primary education,"6,872.0","9,422.0",,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2014,,,,,,,,,,,Secondary education provided or supported,"295,422.04","412,176.41","707,598.45",# of students enrolled in lower secondary education,866.0,"2,411.0",,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2014,,,,,,,,,,,Secondary education provided or supported,"295,422.04","412,176.41","707,598.45",# of students enrolled in upper secondary education,845.0,855.0,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2014,,,,,,,,,,,Secondary education provided or supported,"295,422.04","412,176.41","707,598.45",% of female secondary education teachers,20.0,50.0,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Population has optimal access to education,2014,"1,074,330.12","2,386,744.20","3,461,074.32",% of children aged 3-5 yrs enrolled in early childhood education,65.0,75.0,80.0,,,80.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Population has optimal access to education,2014,"1,074,330.12","2,386,744.20","3,461,074.32",% of primary school-aged children enrolled in primary education,53.4,62.0,85.0,,,100.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Population has optimal access to education,2014,"1,074,330.12","2,386,744.20","3,461,074.32",% of secondary school-aged young people enrolled in secondary education,40.0,50.0,80.0,,,80.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Population has optimal access to education,2014,"1,074,330.12","2,386,744.20","3,461,074.32",% of teachers with professional teaching qualifications,21.0,35.0,40.0,,,70.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,,2014,,,,,,,,,,,Access to tertiary education provided or supported,"84,145.03","46,230.52","130,375.55",# of PoC enrolled in UNHCR supported tertiary education programmes,35.0,70.0,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,,2014,,,,,,,,,,,Early childhood education provided or supported,"373,395.03","367,930.52","741,325.55",# of children aged 3-5 enrolled in early childhood education,"8,000.0","13,000.0",,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,,2014,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained",0.00,"1,035,861.06","1,035,861.06",# of educational facilities constructed or improved,,196.0,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,,2014,,,,,,,,,,,Lifelong learning opportunities provided or supported,0.00,"170,861.06","170,861.06",# of PoC enrolled in literacy classes,,"2,421.0",,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,,2014,,,,,,,,,,,Primary education provided or supported,"348,395.03","567,930.52","916,325.55",# of children enrolled in primary education,"7,000.0","11,000.0",,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,,2014,,,,,,,,,,,Secondary education provided or supported,"268,395.03","197,930.52","466,325.55",# of students enrolled in lower secondary education,250.0,500.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Population has optimal access to education,2014,"216,385.40","110,378.52","326,763.92",% of children aged 3-5 yrs enrolled in early childhood education,87.0,90.0,100.0,,,80.0,,,,,,,,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Population has optimal access to education,2014,"216,385.40","110,378.52","326,763.92",% of primary school-aged children enrolled in primary education,97.0,100.0,100.0,,,100.0,,,,,,,,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Population has optimal access to education,2014,"216,385.40","110,378.52","326,763.92",% of secondary school-aged young people enrolled in secondary education,90.0,100.0,100.0,,,80.0,,,,,,,,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2014,,,,,,,,,,,Advocacy conducted,"4,637.14","16,594.63","21,231.77",# of sensitization and community mobilization campaigns conducted to promote school enrollment,2.0,4.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2014,,,,,,,,,,,Early childhood education provided or supported,"40,807.14","20,594.63","61,401.77",# of children aged 3-5 enrolled in early childhood education,240.0,250.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2014,,,,,,,,,,,Education monitoring system established,"9,274.28",0.00,"9,274.28",# of education assessments/surveys undertaken,1.0,1.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2014,,,,,,,,,,,Involvement of key stakeholders promoted,"9,274.28",0.00,"9,274.28",Joint action plan with UNICEF implemented (yes/no),40.0,40.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2014,,,,,,,,,,,Lifelong learning opportunities provided or supported,"13,774.28",0.00,"13,774.28",# of PoC enrolled in language classes,500.0,500.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2014,,,,,,,,,,,Primary education provided or supported,"115,981.14","46,594.63","162,575.77",# of children enrolled in primary education,246.0,250.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2014,,,,,,,,,,,Secondary education provided or supported,"22,637.14","26,594.63","49,231.77",# of students enrolled in lower secondary education,42.0,46.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2014,,,,,,,,,,,Secondary education provided or supported,"22,637.14","26,594.63","49,231.77",# of students enrolled in upper secondary education,22.0,23.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2014,,,,,,,,,,,Secondary education provided or supported,"22,637.14","26,594.63","49,231.77",% of lower secondary school graduates (successful completion of final grade),80.0,100.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2014,,,,,,,,,,,Secondary education provided or supported,"22,637.14","26,594.63","49,231.77",% of upper secondary school graduates (successful completion of final grade),75.0,100.0,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,Population has optimal access to education,2014,"149,684.62","51,405.77","201,090.39",% of children aged 3-5 yrs enrolled in early childhood education,65.0,90.0,100.0,,,80.0,,,,,,,,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,Population has optimal access to education,2014,"149,684.62","51,405.77","201,090.39",% of primary school-aged children enrolled in primary education,85.0,90.0,100.0,,,100.0,,,,,,,,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,Population has optimal access to education,2014,"149,684.62","51,405.77","201,090.39",% of secondary school-aged young people enrolled in secondary education,40.0,50.0,80.0,,,80.0,,,,,,,,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,Population has optimal access to education,2014,"149,684.62","51,405.77","201,090.39",Extent persons of concern have access to national education systems,80.0,80.0,90.0,,,80.0,,,,,,,,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,,2014,,,,,,,,,,,Access to tertiary education provided or supported,"14,813.71","9,514.13","24,327.84",# of PoC who receive tertiary education scholarships,4.0,5.0,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,,2014,,,,,,,,,,,Early childhood education provided or supported,"17,483.56","11,684.74","29,168.30",# of children aged 3-5 enrolled in early childhood education,35.0,40.0,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,,2014,,,,,,,,,,,Primary education provided or supported,"88,180.33","12,878.58","101,058.91",# of children enrolled in primary education,200.0,200.0,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,,2014,,,,,,,,,,,Primary education provided or supported,"88,180.33","12,878.58","101,058.91",# of PoC enrolled in accelerated learning programmes,10.0,20.0,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,,2014,,,,,,,,,,,Secondary education provided or supported,"29,207.02","17,328.32","46,535.34",# of students enrolled in lower secondary education,25.0,30.0,,
Ghana,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"32,488.11","19,118.22","51,606.33",% of primary school-aged children enrolled in primary education,23.0,50.0,50.0,,,100.0,,,,,,,,,
Ghana,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Advocacy conducted,0.00,"3,309.11","3,309.11",Strategy to promote admission of PoC to national education system established (yes/no),,100.0,,
Ghana,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Primary education provided or supported,"32,488.11",0.00,"32,488.11",# of children enrolled in primary education,60.0,60.0,,
Ghana,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Secondary education provided or supported,0.00,"15,809.11","15,809.11",# of students enrolled in lower secondary education,,0.0,,
Ghana,Refugees in rural and semi rural areas,Population has optimal access to education,2014,"348,827.49","314,199.70","663,027.19",% of children aged 3-5 yrs enrolled in early childhood education,20.0,20.0,30.0,,,80.0,,,,,,,,,
Ghana,Refugees in rural and semi rural areas,Population has optimal access to education,2014,"348,827.49","314,199.70","663,027.19",% of primary school-aged children enrolled in primary education,80.0,85.0,100.0,,,100.0,,,,,,,,,
Ghana,Refugees in rural and semi rural areas,Population has optimal access to education,2014,"348,827.49","314,199.70","663,027.19",% of secondary school-aged young people enrolled in secondary education,0.0,4.0,10.0,,,80.0,,,,,,,,,
Ghana,Refugees in rural and semi rural areas,,2014,,,,,,,,,,,Early childhood education provided or supported,"56,275.83","11,399.90","67,675.73",# of children aged 3-5 enrolled in early childhood education,600.0,800.0,,
Ghana,Refugees in rural and semi rural areas,,2014,,,,,,,,,,,Primary education provided or supported,"196,275.83","101,399.90","297,675.73",# of children enrolled in primary education,"1,000.0","1,100.0",,
Ghana,Refugees in rural and semi rural areas,,2014,,,,,,,,,,,Secondary education provided or supported,"96,275.83","201,399.90","297,675.73",# of students enrolled in lower secondary education,120.0,120.0,,
Ghana,Refugees in rural and semi rural areas,,2014,,,,,,,,,,,Secondary education provided or supported,"96,275.83","201,399.90","297,675.73",# of students enrolled in upper secondary education,0.0,0.0,,
Guinea,Ivorian refugees,Population has optimal access to education,2014,"125,780.16","57,387.44","183,167.60",% of primary school-aged children enrolled in primary education,100.0,,100.0,,,100.0,,,,,,,,,
Guinea,Ivorian refugees,Population has optimal access to education,2014,"125,780.16","57,387.44","183,167.60",% of secondary school-aged young people enrolled in secondary education,80.0,,90.0,,,80.0,,,,,,,,,
Guinea,Ivorian refugees,,2014,,,,,,,,,,,Primary education provided or supported,"125,780.16",0.00,"125,780.16",# of children enrolled in primary education,"1,500.0","1,500.0",,
Guinea,Ivorian refugees,,2014,,,,,,,,,,,Secondary education provided or supported,0.00,"57,387.44","57,387.44",# of students enrolled in lower secondary education,,"1,150.0",,
India,Refugees and asylum seekers in urban areas,Population has optimal access to education,2014,"568,811.50","447,197.58","1,016,009.08",Extent persons of concern have access to national education systems,40.0,50.0,100.0,,,80.0,,,,,,,,,
India,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Access to tertiary education provided or supported,"53,001.66","14,916.62","67,918.28",# of PoC enrolled in UNHCR supported tertiary education programmes,100.0,140.0,,
India,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Advocacy conducted,"53,929.65","14,916.62","68,846.27",# of sensitization and community mobilization campaigns conducted to promote school enrollment,4.0,10.0,,
India,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Early childhood education provided or supported,"181,687.63","144,834.96","326,522.59",# of children aged 3-5 enrolled in early childhood education,400.0,700.0,,
India,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Primary education provided or supported,"190,999.36","211,213.35","402,212.71",# of PoC enrolled in accelerated learning programmes,500.0,"1,200.0",,
India,Refugees and asylum seekers in urban areas,,2014,,,,,,,,,,,Secondary education provided or supported,"89,193.20","61,316.03","150,509.23",# of students enrolled in upper secondary education,700.0,900.0,,
Indonesia,Refugees and asylum seekers in mainly urban areas,Population has optimal access to education,2014,"147,790.53","604,317.65","752,108.18",% of primary school-aged children enrolled in primary education,20.0,10.0,100.0,,,100.0,,,,,,,,,
Indonesia,Refugees and asylum seekers in mainly urban areas,Population has optimal access to education,2014,"147,790.53","604,317.65","752,108.18",% of secondary school-aged young people enrolled in secondary education,2.0,10.0,100.0,,,80.0,,,,,,,,,
Indonesia,Refugees and asylum seekers in mainly urban areas,Population has optimal access to education,2014,"147,790.53","604,317.65","752,108.18",% of teachers who are female,50.0,50.0,50.0,,,50.0,,,,,,,,,
Indonesia,Refugees and asylum seekers in mainly urban areas,,2014,,,,,,,,,,,Primary education provided or supported,"73,089.17","599,421.22","672,510.39",# of children enrolled in primary education,25.0,40.0,,
Indonesia,Refugees and asylum seekers in mainly urban areas,,2014,,,,,,,,,,,Secondary education provided or supported,"74,701.36","4,896.43","79,597.79",# of students enrolled in lower secondary education,10.0,20.0,,
