Operation,PPG,Objective,Planningyear,OLBudgetImpact,AOLBudgetImpact,CompBudgetImpact,ImpactIndicator,Baseline,TargetOL,TargetOP,MYR,YER,Standard,Output,OLBudgetPer,AOLBudgetPer,CompBudgetPer,PerformanceIndicator,TargetOLPer,TargetOPPer,MYRPer,YERPer
Djibouti,Refugees in Djibouti,Population has optimal access to education,2015,"683,220.84","1,139,585.70","1,822,806.54",% of primary school-aged children enrolled in primary education,42.0,60.0,100.0,,,100.0,,,,,,,,,
Djibouti,Refugees in Djibouti,Population has optimal access to education,2015,"683,220.84","1,139,585.70","1,822,806.54",% of teachers with professional teaching qualifications,1.0,5.0,70.0,,,70.0,,,,,,,,,
Djibouti,Refugees in Djibouti,Population has optimal access to education,2015,"683,220.84","1,139,585.70","1,822,806.54",Extent persons of concern have access to national education systems,15.0,25.0,80.0,,,80.0,,,,,,,,,
Djibouti,Refugees in Djibouti,,2015,,,,,,,,,,,Advocacy conducted,"12,460.12","66,917.14","79,377.26",# of families identified with school-aged children out of school,300.0,300.0,,
Djibouti,Refugees in Djibouti,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","160,460.12","451,917.14","612,377.26",# of educational facilities constructed or improved,44.0,109.0,,
Djibouti,Refugees in Djibouti,,2015,,,,,,,,,,,Involvement of key stakeholders promoted,"23,920.24",0.00,"23,920.24",# of national authorities that have endorsed the UNHCR education strategy,2.0,2.0,,
Djibouti,Refugees in Djibouti,,2015,,,,,,,,,,,Involvement of key stakeholders promoted,"23,920.24",0.00,"23,920.24",# of partners that have endorsed the UNHCR education strategy,6.0,6.0,,
Djibouti,Refugees in Djibouti,,2015,,,,,,,,,,,Measures to promote girls' education promoted,"15,460.12","96,917.14","112,377.26",# of measures in place to facilitate women and girls' access to education,5.0,5.0,,
Djibouti,Refugees in Djibouti,,2015,,,,,,,,,,,Primary education provided or supported,"260,460.12","26,917.14","287,377.26",# of children enrolled in primary education,"2,500.0","5,039.0",,
Djibouti,Refugees in Djibouti,,2015,,,,,,,,,,,Secondary education provided or supported,"210,460.12","496,917.14","707,377.26",# of students enrolled in lower secondary education,50.0,100.0,,
Ecuador,Refugees and asylum seekers,Population has optimal access to education,2015,"113,246.68","630,245.18","743,491.86",% of primary school-aged children enrolled in primary education,96.0,98.0,100.0,,,100.0,,,,,,,,,
Ecuador,Refugees and asylum seekers,Population has optimal access to education,2015,"113,246.68","630,245.18","743,491.86",% of secondary school-aged young people enrolled in secondary education,72.0,82.0,100.0,,,80.0,,,,,,,,,
Ecuador,Refugees and asylum seekers,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","54,123.34","555,122.59","609,245.93",# of educational facilities constructed or improved,20.0,30.0,,
Ecuador,Refugees and asylum seekers,,2015,,,,,,,,,,,Sectoral cash grants or vouchers provided,"59,123.34","75,122.59","134,245.93",# of households receiving conditional cash grants or vouchers for education,950.0,"1,000.0",,
Egypt,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"2,340,391.83","1,313,900.83","3,654,292.66",% of children aged 3-5 yrs enrolled in early childhood education,80.0,80.0,90.0,,,80.0,,,,,,,,,
Egypt,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"2,340,391.83","1,313,900.83","3,654,292.66",% of primary school-aged children enrolled in primary education,90.0,95.0,100.0,,,100.0,,,,,,,,,
Egypt,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"2,340,391.83","1,313,900.83","3,654,292.66",% of secondary school-aged young people enrolled in secondary education,70.0,75.0,80.0,,,80.0,,,,,,,,,
Egypt,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Access to tertiary education provided or supported,"25,444.44","269,324.16","294,768.60",# of PoC who receive tertiary education scholarships,10.0,50.0,,
Egypt,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Early childhood education provided or supported,"206,739.88","95,040.15","301,780.03",# of children aged 3-5 enrolled in early childhood education,"1,350.0","1,850.0",,
Egypt,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"129,317.42","76,417.20","205,734.62",# of teachers enrolled in on-going in-service training leading to teacher certification,150.0,200.0,,
Egypt,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Primary education provided or supported,"1,452,641.82","506,451.33","1,959,093.15",# of children enrolled in primary education,"5,000.0","6,800.0",,
Egypt,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Secondary education provided or supported,"526,248.27","366,667.99","892,916.26",# of students enrolled in lower secondary education,"1,200.0","1,500.0",,
Egypt,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Secondary education provided or supported,"526,248.27","366,667.99","892,916.26",# of students enrolled in upper secondary education,700.0,"1,000.0",,
Eritrea,"Refugees, asylum seekers and others of concern",Population has optimal access to education,2015,"151,773.04",0.00,"151,773.04",% of primary school-aged children enrolled in primary education,90.0,100.0,100.0,,,100.0,,,,,,,,,
Eritrea,"Refugees, asylum seekers and others of concern",Population has optimal access to education,2015,"151,773.04",0.00,"151,773.04",% of secondary school-aged young people enrolled in secondary education,80.0,100.0,100.0,,,80.0,,,,,,,,,
Eritrea,"Refugees, asylum seekers and others of concern",Population has optimal access to education,2015,"151,773.04",0.00,"151,773.04",% of teachers who are female,20.0,30.0,30.0,,,50.0,,,,,,,,,
Eritrea,"Refugees, asylum seekers and others of concern",Population has optimal access to education,2015,"151,773.04",0.00,"151,773.04",% of teachers with professional teaching qualifications,83.0,90.0,90.0,,,70.0,,,,,,,,,
Eritrea,"Refugees, asylum seekers and others of concern",Population has optimal access to education,2015,"151,773.04",0.00,"151,773.04",Extent persons of concern have access to national education systems,100.0,100.0,100.0,,,80.0,,,,,,,,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Access to tertiary education provided or supported,"3,081.63",0.00,"3,081.63",# of PoC who receive tertiary education scholarships,12.0,12.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Advocacy conducted,"3,081.63",0.00,"3,081.63",# of families identified with school-aged children out of school,10.0,10.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Advocacy conducted,"3,081.63",0.00,"3,081.63",# of sensitization and community mobilization campaigns conducted to promote school enrollment,5.0,5.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Early childhood education provided or supported,"3,081.63",0.00,"3,081.63",# of children aged 3-5 enrolled in early childhood education,120.0,120.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"53,081.63",0.00,"53,081.63",# of children per teacher,38.0,38.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"53,081.63",0.00,"53,081.63",# of teachers with professional teaching qualifications,30.0,30.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"53,081.63",0.00,"53,081.63",% of primary school graduates (successful completion of final grade),90.0,90.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"53,081.63",0.00,"53,081.63",% of teachers who were retained from the previous year,90.0,90.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Primary education provided or supported,"43,534.96",0.00,"43,534.96",# of children enrolled in primary education,"1,040.0","1,040.0",,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Primary education provided or supported,"43,534.96",0.00,"43,534.96",# of children enrolled in primary education in the correct grade for their age,"1,000.0","1,000.0",,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Safe learning environments promoted,"3,081.63",0.00,"3,081.63",# of children with specific needs enrolled in school,50.0,50.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Secondary education provided or supported,"29,748.30",0.00,"29,748.30",# of students enrolled in lower secondary education,300.0,300.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Secondary education provided or supported,"29,748.30",0.00,"29,748.30",# of students enrolled in upper secondary education,125.0,125.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Secondary education provided or supported,"29,748.30",0.00,"29,748.30",% of lower secondary school graduates (successful completion of final grade),80.0,80.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Secondary education provided or supported,"29,748.30",0.00,"29,748.30",% of upper secondary school graduates (successful completion of final grade),80.0,80.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Sports/recreation programme provided or supported,"13,081.63",0.00,"13,081.63",# of active youth clubs or committees,1.0,1.0,,
Eritrea,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Sports/recreation programme provided or supported,"13,081.63",0.00,"13,081.63",# of PoC participating in UNHCR supported school-based sports/recreation activities,200.0,200.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Population has optimal access to education,2015,"48,468.15","3,548,472.03","3,596,940.18",% of children aged 3-5 yrs enrolled in early childhood education,40.0,40.0,60.0,,,80.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Population has optimal access to education,2015,"48,468.15","3,548,472.03","3,596,940.18",% of primary school-aged children enrolled in primary education,40.0,40.0,70.0,,,100.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Population has optimal access to education,2015,"48,468.15","3,548,472.03","3,596,940.18",% of secondary school-aged young people enrolled in secondary education,10.0,30.0,50.0,,,80.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,Population has optimal access to education,2015,"48,468.15","3,548,472.03","3,596,940.18",% of teachers who are female,25.0,25.0,40.0,,,50.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,Access to tertiary education provided or supported,"6,924.02","1,406,568.39","1,413,492.41",# of PoC enrolled in UNHCR supported tertiary education programmes,"1,404.0","2,500.0",,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,Early childhood education provided or supported,"6,924.02","219,568.39","226,492.41",% of children aged 3-5 enrolled in early childhood education who are not registered PoC,40.0,70.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained",0.00,"552,570.76","552,570.76",# of educational facilities constructed or improved,,9.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained",0.00,"552,570.76","552,570.76",% of schools with safe access to separate latrines for boys and girls,,100.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"6,924.02","128,568.39","135,492.41",# of children per teacher,50.0,40.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"6,924.02","128,568.39","135,492.41",# of teachers with professional teaching qualifications,79.0,200.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"6,924.02","128,568.39","135,492.41",% of female primary education teachers,26.0,40.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"6,924.02","128,568.39","135,492.41",% of primary school graduates (successful completion of final grade),54.0,70.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,Primary education provided or supported,"6,924.02","310,657.39","317,581.41",# of children enrolled in primary education,"4,080.0","5,200.0",,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,Safe learning environments promoted,"13,848.05",0.00,"13,848.05",% of schools that enforce a teacher code of conduct that has been developed in a participatory way,100.0,100.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,Secondary education provided or supported,"6,924.02","930,538.71","937,462.73",# of students enrolled in lower secondary education,600.0,800.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,Secondary education provided or supported,"6,924.02","930,538.71","937,462.73",# of students enrolled in upper secondary education,80.0,120.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,Secondary education provided or supported,"6,924.02","930,538.71","937,462.73",% of lower secondary school graduates (successful completion of final grade),50.0,70.0,,
Ethiopia,Refugees and asylum seekers from Eritrea in Northern Ethiopia,,2015,,,,,,,,,,,Secondary education provided or supported,"6,924.02","930,538.71","937,462.73",% of upper secondary school graduates (successful completion of final grade),50.0,80.0,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Population has optimal access to education,2015,"1,535,005.50","1,442,666.99","2,977,672.49",% of children aged 3-5 yrs enrolled in early childhood education,92.0,92.0,96.0,,,80.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Population has optimal access to education,2015,"1,535,005.50","1,442,666.99","2,977,672.49",% of primary school-aged children enrolled in primary education,66.0,66.0,80.0,,,100.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Population has optimal access to education,2015,"1,535,005.50","1,442,666.99","2,977,672.49",% of secondary school-aged young people enrolled in secondary education,53.0,53.0,75.0,,,80.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Population has optimal access to education,2015,"1,535,005.50","1,442,666.99","2,977,672.49",% of teachers who are female,28.0,28.0,34.0,,,50.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Population has optimal access to education,2015,"1,535,005.50","1,442,666.99","2,977,672.49",% of teachers with professional teaching qualifications,65.0,65.0,80.0,,,70.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2015,,,,,,,,,,,Access to tertiary education provided or supported,"169,116.87","155,888.52","325,005.39",# of PoC who receive tertiary education scholarships,200.0,543.0,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2015,,,,,,,,,,,Early childhood education provided or supported,"139,668.31","219,228.13","358,896.44",% of children aged 3-5 enrolled in early childhood education who are not registered PoC,74.0,85.0,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2015,,,,,,,,,,,Measures to promote girls' education promoted,"138,575.02","65,748.53","204,323.55",# of measures in place to facilitate women and girls' access to education,1.0,2.0,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2015,,,,,,,,,,,Primary education provided or supported,"815,854.78","589,625.40","1,405,480.18",# of children enrolled in primary education,"6,872.0","9,422.0",,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2015,,,,,,,,,,,Secondary education provided or supported,"271,790.52","412,176.41","683,966.93",# of students enrolled in lower secondary education,866.0,"2,411.0",,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2015,,,,,,,,,,,Secondary education provided or supported,"271,790.52","412,176.41","683,966.93",# of students enrolled in upper secondary education,845.0,855.0,,
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,,2015,,,,,,,,,,,Secondary education provided or supported,"271,790.52","412,176.41","683,966.93",% of female secondary education teachers,20.0,50.0,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Population has optimal access to education,2015,"910,007.84","2,386,744.20","3,296,752.04",% of children aged 3-5 yrs enrolled in early childhood education,65.0,75.0,80.0,,,80.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Population has optimal access to education,2015,"910,007.84","2,386,744.20","3,296,752.04",% of primary school-aged children enrolled in primary education,53.4,62.0,85.0,,,100.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Population has optimal access to education,2015,"910,007.84","2,386,744.20","3,296,752.04",% of secondary school-aged young people enrolled in secondary education,40.0,50.0,80.0,,,80.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Population has optimal access to education,2015,"910,007.84","2,386,744.20","3,296,752.04",% of teachers with professional teaching qualifications,21.0,35.0,40.0,,,70.0,,,,,,,,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,,2015,,,,,,,,,,,Access to tertiary education provided or supported,"43,064.46","46,230.52","89,294.98",# of PoC enrolled in UNHCR supported tertiary education programmes,35.0,70.0,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,,2015,,,,,,,,,,,Early childhood education provided or supported,"332,314.46","367,930.52","700,244.98",# of children aged 3-5 enrolled in early childhood education,"8,000.0","13,000.0",,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained",0.00,"1,035,861.06","1,035,861.06",# of educational facilities constructed or improved,,196.0,,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,,2015,,,,,,,,,,,Lifelong learning opportunities provided or supported,0.00,"170,861.06","170,861.06",# of PoC enrolled in literacy classes,,"2,421.0",,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,,2015,,,,,,,,,,,Primary education provided or supported,"307,314.46","567,930.52","875,244.98",# of children enrolled in primary education,"7,000.0","11,000.0",,
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,,2015,,,,,,,,,,,Secondary education provided or supported,"227,314.46","197,930.52","425,244.98",# of students enrolled in lower secondary education,250.0,500.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Population has optimal access to education,2015,"176,467.00","110,378.52","286,845.52",% of children aged 3-5 yrs enrolled in early childhood education,87.0,90.0,100.0,,,80.0,,,,,,,,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Population has optimal access to education,2015,"176,467.00","110,378.52","286,845.52",% of primary school-aged children enrolled in primary education,97.0,100.0,100.0,,,100.0,,,,,,,,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Population has optimal access to education,2015,"176,467.00","110,378.52","286,845.52",% of secondary school-aged young people enrolled in secondary education,90.0,100.0,100.0,,,80.0,,,,,,,,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2015,,,,,,,,,,,Advocacy conducted,645.30,"16,594.63","17,239.93",# of sensitization and community mobilization campaigns conducted to promote school enrollment,2.0,4.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2015,,,,,,,,,,,Early childhood education provided or supported,"36,815.30","20,594.63","57,409.93",# of children aged 3-5 enrolled in early childhood education,240.0,250.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2015,,,,,,,,,,,Education monitoring system established,"1,290.60",0.00,"1,290.60",# of education assessments/surveys undertaken,1.0,1.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2015,,,,,,,,,,,Involvement of key stakeholders promoted,"1,290.60",0.00,"1,290.60",Joint action plan with UNICEF implemented (yes/no),40.0,40.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2015,,,,,,,,,,,Lifelong learning opportunities provided or supported,"5,790.60",0.00,"5,790.60",# of PoC enrolled in language classes,500.0,500.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2015,,,,,,,,,,,Primary education provided or supported,"111,989.30","46,594.63","158,583.93",# of children enrolled in primary education,246.0,250.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2015,,,,,,,,,,,Secondary education provided or supported,"18,645.30","26,594.63","45,239.93",# of students enrolled in lower secondary education,42.0,46.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2015,,,,,,,,,,,Secondary education provided or supported,"18,645.30","26,594.63","45,239.93",# of students enrolled in upper secondary education,22.0,23.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2015,,,,,,,,,,,Secondary education provided or supported,"18,645.30","26,594.63","45,239.93",% of lower secondary school graduates (successful completion of final grade),80.0,100.0,,
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",,2015,,,,,,,,,,,Secondary education provided or supported,"18,645.30","26,594.63","45,239.93",% of upper secondary school graduates (successful completion of final grade),75.0,100.0,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,Population has optimal access to education,2015,"115,308.70","51,405.77","166,714.47",% of children aged 3-5 yrs enrolled in early childhood education,65.0,90.0,100.0,,,80.0,,,,,,,,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,Population has optimal access to education,2015,"115,308.70","51,405.77","166,714.47",% of primary school-aged children enrolled in primary education,85.0,90.0,100.0,,,100.0,,,,,,,,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,Population has optimal access to education,2015,"115,308.70","51,405.77","166,714.47",% of secondary school-aged young people enrolled in secondary education,40.0,50.0,80.0,,,80.0,,,,,,,,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,Population has optimal access to education,2015,"115,308.70","51,405.77","166,714.47",Extent persons of concern have access to national education systems,80.0,80.0,90.0,,,80.0,,,,,,,,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,,2015,,,,,,,,,,,Access to tertiary education provided or supported,"6,219.73","9,514.13","15,733.86",# of PoC who receive tertiary education scholarships,4.0,5.0,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,,2015,,,,,,,,,,,Early childhood education provided or supported,"8,889.58","11,684.74","20,574.32",# of children aged 3-5 enrolled in early childhood education,35.0,40.0,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,,2015,,,,,,,,,,,Primary education provided or supported,"79,586.35","12,878.58","92,464.93",# of children enrolled in primary education,200.0,200.0,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,,2015,,,,,,,,,,,Primary education provided or supported,"79,586.35","12,878.58","92,464.93",# of PoC enrolled in accelerated learning programmes,10.0,20.0,,
Former Yugoslav Republic of Macedonia,Refugees and asylum seekers,,2015,,,,,,,,,,,Secondary education provided or supported,"20,613.04","17,328.32","37,941.36",# of students enrolled in lower secondary education,25.0,30.0,,
Ghana,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"13,773.40","19,118.22","32,891.62",% of primary school-aged children enrolled in primary education,23.0,50.0,50.0,,,100.0,,,,,,,,,
Ghana,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Advocacy conducted,0.00,"3,309.11","3,309.11",Strategy to promote admission of PoC to national education system established (yes/no),,100.0,,
Ghana,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Primary education provided or supported,"13,773.40",0.00,"13,773.40",# of children enrolled in primary education,60.0,60.0,,
Ghana,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Secondary education provided or supported,0.00,"15,809.11","15,809.11",# of students enrolled in lower secondary education,,0.0,,
Ghana,Refugees in rural and semi rural areas,Population has optimal access to education,2015,"257,333.34","314,199.70","571,533.04",% of children aged 3-5 yrs enrolled in early childhood education,20.0,20.0,30.0,,,80.0,,,,,,,,,
Ghana,Refugees in rural and semi rural areas,Population has optimal access to education,2015,"257,333.34","314,199.70","571,533.04",% of primary school-aged children enrolled in primary education,80.0,85.0,100.0,,,100.0,,,,,,,,,
Ghana,Refugees in rural and semi rural areas,Population has optimal access to education,2015,"257,333.34","314,199.70","571,533.04",% of secondary school-aged young people enrolled in secondary education,0.0,4.0,10.0,,,80.0,,,,,,,,,
Ghana,Refugees in rural and semi rural areas,,2015,,,,,,,,,,,Early childhood education provided or supported,"25,777.78","11,399.90","37,177.68",# of children aged 3-5 enrolled in early childhood education,600.0,800.0,,
Ghana,Refugees in rural and semi rural areas,,2015,,,,,,,,,,,Primary education provided or supported,"165,777.78","101,399.90","267,177.68",# of children enrolled in primary education,"1,000.0","1,100.0",,
Ghana,Refugees in rural and semi rural areas,,2015,,,,,,,,,,,Secondary education provided or supported,"65,777.78","201,399.90","267,177.68",# of students enrolled in lower secondary education,120.0,120.0,,
Ghana,Refugees in rural and semi rural areas,,2015,,,,,,,,,,,Secondary education provided or supported,"65,777.78","201,399.90","267,177.68",# of students enrolled in upper secondary education,0.0,0.0,,
Guinea,Ivorian refugees,Population has optimal access to education,2015,"88,782.86","57,387.44","146,170.30",% of primary school-aged children enrolled in primary education,100.0,,100.0,,,100.0,,,,,,,,,
Guinea,Ivorian refugees,Population has optimal access to education,2015,"88,782.86","57,387.44","146,170.30",% of secondary school-aged young people enrolled in secondary education,80.0,,90.0,,,80.0,,,,,,,,,
Guinea,Ivorian refugees,,2015,,,,,,,,,,,Primary education provided or supported,"88,782.86",0.00,"88,782.86",# of children enrolled in primary education,"1,500.0","1,500.0",,
Guinea,Ivorian refugees,,2015,,,,,,,,,,,Secondary education provided or supported,0.00,"57,387.44","57,387.44",# of students enrolled in lower secondary education,,"1,150.0",,
India,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"380,785.60","447,197.58","827,983.18",Extent persons of concern have access to national education systems,40.0,50.0,100.0,,,80.0,,,,,,,,,
India,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Access to tertiary education provided or supported,"15,396.48","14,916.62","30,313.10",# of PoC enrolled in UNHCR supported tertiary education programmes,100.0,140.0,,
India,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Advocacy conducted,"16,324.47","14,916.62","31,241.09",# of sensitization and community mobilization campaigns conducted to promote school enrollment,4.0,10.0,,
India,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Early childhood education provided or supported,"144,082.45","144,834.96","288,917.41",# of children aged 3-5 enrolled in early childhood education,400.0,700.0,,
India,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Primary education provided or supported,"153,394.18","211,213.35","364,607.53",# of PoC enrolled in accelerated learning programmes,500.0,"1,200.0",,
India,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Secondary education provided or supported,"51,588.02","61,316.03","112,904.05",# of students enrolled in upper secondary education,700.0,900.0,,
Indonesia,Refugees and asylum seekers in mainly urban areas,Population has optimal access to education,2015,"79,628.59","604,317.65","683,946.24",% of primary school-aged children enrolled in primary education,20.0,10.0,100.0,,,100.0,,,,,,,,,
Indonesia,Refugees and asylum seekers in mainly urban areas,Population has optimal access to education,2015,"79,628.59","604,317.65","683,946.24",% of secondary school-aged young people enrolled in secondary education,2.0,10.0,100.0,,,80.0,,,,,,,,,
Indonesia,Refugees and asylum seekers in mainly urban areas,Population has optimal access to education,2015,"79,628.59","604,317.65","683,946.24",% of teachers who are female,50.0,50.0,50.0,,,50.0,,,,,,,,,
Indonesia,Refugees and asylum seekers in mainly urban areas,,2015,,,,,,,,,,,Primary education provided or supported,"39,008.20","599,421.22","638,429.42",# of children enrolled in primary education,25.0,40.0,,
Indonesia,Refugees and asylum seekers in mainly urban areas,,2015,,,,,,,,,,,Secondary education provided or supported,"40,620.39","4,896.43","45,516.82",# of students enrolled in lower secondary education,10.0,20.0,,
